date,location_id,location_name,latitude,longitude,ndvi,ndvi_source
2008-03-05,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.52,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-03-21,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4528,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-04-06,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.487,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-04-22,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4856,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-05-08,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4718,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-05-24,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4356,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-06-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4275,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-06-25,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4138,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-07-11,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3708,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-07-27,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.353,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-08-12,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3534,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-08-28,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3687,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-09-13,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3921,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-09-29,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4108,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-10-15,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4029,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-10-31,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.426,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-11-16,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4408,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-12-02,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4418,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2008-12-18,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.5006,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-01-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4778,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-01-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4278,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-02-02,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.455,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-02-18,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4666,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-03-06,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.1789,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-03-22,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4278,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-04-07,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4758,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-04-23,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4816,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-05-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4772,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-05-25,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.456,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-06-10,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4525,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-06-26,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4281,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-07-12,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3922,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-07-28,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3834,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-08-13,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3607,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-08-29,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3716,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-09-14,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4328,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-09-30,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4093,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-10-16,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4461,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-11-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4667,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-11-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.5905,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-12-03,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.1975,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2009-12-19,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4034,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-01-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.2473,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-01-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4716,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-02-02,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4693,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-02-18,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4319,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-03-06,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4704,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-03-22,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4488,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-04-07,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4579,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-04-23,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4518,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-05-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4347,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-05-25,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4052,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-06-10,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3941,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-06-26,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3698,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-07-12,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.352,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-07-28,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.33,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-08-13,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3355,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-08-29,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3338,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-09-14,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3138,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-09-30,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.365,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-10-16,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.306,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-11-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4074,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-11-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4114,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-12-03,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3289,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2010-12-19,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4129,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-01-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4149,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-01-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3668,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-02-02,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3014,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-02-18,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3283,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-03-06,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4461,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-03-22,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4405,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-04-07,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.467,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-04-23,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4697,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-05-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4258,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-05-25,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.4048,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-06-10,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3923,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-06-26,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3954,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-07-12,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3563,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-07-28,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3436,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
2011-08-13,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.3259,AppEEARS:MOD13Q1.061:_250m_16_days_NDVI
